"Timestamp","Are you a university student?","Are you Taking your online Classes during this COVID-19 pandemic?","Are your classes are through the live sessions or recorded?","What is your age?","Gender?","From Which Country you Belong?","Your institute is private or government?","In which Institute you are studying?","Degree Level?","Your Program Name?","Which Tool you are using during online learning?","Which platform your tool support?","Is the lecture's material shared with you well after the Online session?","Are you Facing Internet issue during your online class?","Does your tool support recording while live session?","Does your tool shows live subtitles during lecture?","Does Tool has feature for Assignment submission?","Does Assignment feature contain grading option?","Does tool have quiz submission option?","Does quiz feature contain evaluation option?","Is chat room is available in your tool?  ","Is there any feature available for your attendance?","Does your tool have a whiteboard feature?","Does your tool have a one-to-one communication (Private chat with the instructor or student) feature?","Does your tool have a Screenshare feature?","Does your tool have a scheduling or reminder feature?","Does your tool support an online quiz?","Does your tool have the feature ""Raise hand"" during the live session for the question?","Have your recived notification from tool when your class has been started?","Where you get help for your study in addition to live sessions?","Rate your Answer [Are you Satisfied from your Classes?]","Rate your Answer [Is the specific tool is availble easily?]","Rate your Answer [How good Audio and Video Quality of the Online Class?]","Rate your Answer [How good your internet connection is while taking online class?]","Rate your Answer [How often you feel interruption during your online class?]","Your Suggestions regarding the improvement of Online Classes?","If You Want to add any feature, in a specific Tool? Please Mention.","How to improve this Survey form? ","","","","","","","",""
"2020/05/01 2:32:30 pm GMT+5","Yes","Yes","","17-23","Male","Pakistan","Private","COMSATS University Islamabad","Undergraduate","Phsycology","Microsoft Teams","Windows","Yes","Yes","Yes","","No","Yes","","","Yes","No","No","Yes","Yes","No","No","No","No","Google ","2","2","1","1","2","Must be recorded LECTURE and then a session with question answers ","I haven't any idea buy want to be like yiu feel yes im taking the class ","Talk about assignment project and quizz like how in a easiest way it will be conduct ","","","","","","","",""
"2020/05/01 3:01:48 pm GMT+5","Yes","Yes","","17-23","Female","Pakistan","Private","COMSATS University Islamabad","Undergraduate","Phsycology","Microsoft Teams;Google Hangout","Android","Yes","Yes","Yes","","Maybe","Yes","","","Yes","No","No","Yes","Yes","No","No","No","No","YouTube","2","3","4","2","1","","","","","","","","","","",""
"2020/05/01 3:39:44 pm GMT+5","Yes","Yes","","17-23","Female","Pakistan","Government","COMSATS University Islamabad","Undergraduate","Phsycology","Microsoft Teams","Windows","Yes","No","Yes","","Maybe","No","","","Yes","No","No","No","Yes","No","No","No","No","YouTube","5","1","1","1","4","","","","","","","","","","",""
"2020/05/01 6:19:03 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","Comsats islamabad","Undergraduate","Phsychology","Microsoft Teams","Windows;Android;IOS;Mac","Yes","Yes","Yes","Maybe","Yes","Yes","Maybe","Maybe","Yes","No","No","No","Yes","Yes","No","No","No","YouTube","2","4","1","3","1","Students should be provided with recorded lectures. So the inconvenience of internet issues could be reduced. Assignments should be given one at a time so that the students are not burdenizsed.","Sceduling of Classes;Class Notification;Attendance;Raise Hand during session;One to one Communication","","","","","","","","",""
"2020/05/01 9:04:57 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","Comsats","Undergraduate","Phsychology","Google Hangout","Android","Yes","No","No","Maybe","Maybe","Yes","Maybe","Maybe","Yes","No","No","Yes","No","Yes","Yes","No","No","YouTube","3","4","3","2","3","","Screen Sharing;Screen Recording;White Board;Live subtitles;Chat Room;Lecture materials;Attendance","","","","","","","","",""
"2020/05/02 1:54:07 am GMT+5","Yes","Yes","Live Session","24-28","Female","Pakistan","Private","Comsats","Graduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","YouTube","4","4","3","4","3","","White Board;Live subtitles;Class Notification;Raise Hand during session;One to one Communication","Add more questions","","","","","","","",""
"2020/05/02 9:34:40 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Private","Iiui","Graduate","Phsychology","Zoom","Android","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No","YouTube","3","3","4","3","2","Teachers and students should cooperate ","Assignment Upload/Evaluation","Its already good","","","","","","","",""
"2020/05/02 9:34:57 pm GMT+5","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/02 9:36:01 pm GMT+5","Yes","Yes","Live Session","24-28","Female","Pakistan","Government","Comsats ","Graduate","Computer Science","Microsoft Teams;Skype","Windows;Android","Yes","Yes","Yes","Maybe","Yes","Yes","Maybe","Maybe","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Coursera","4","4","3","3","2","","White Board;Live subtitles;Raise Hand during session","","","","","","","","",""
"2020/05/02 9:43:57 pm GMT+5","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/02 9:44:57 pm GMT+5","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/02 9:48:38 pm GMT+5","Yes","Yes","Live Session","24-28","Female","Pakistan","Private","COMSATS University, Islamabad ","Graduate","Software Engineering ","Microsoft Teams","Windows;Android;IOS;Mac","Yes","No","Yes","No","Maybe","No","Maybe","Maybe","Yes","No","Yes","No","Yes","No","No","No","No","Udacity","4","5","3","3","4","I don't want online classes anymore😛","Live subtitles;Quiz Upload/Evaluation","It's aready OK 😎 ","","","","","","","",""
"2020/05/02 9:51:38 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Private","FAST Isb","Postgraduate","Computer Science","Google Meet","Android;IOS;Mac;Linux","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","Coursera","1","3","1","2","1","try not to fuck student grades :)","White Board;Lecture materials;Sceduling of Classes;Class Notification;Attendance;Raise Hand during session;One to one Communication;Assignment Upload/Evaluation;Quiz Upload/Evaluation","itni tension q le rhy yr....jo hona tha ho gya....ab kn bacha skta hmy😭","","","","","","","",""
"2020/05/02 9:52:18 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Private","Comsat Islamabad","Graduate","Computer Science","Microsoft Teams","Windows","No","Yes","Yes","No","Maybe","No","Maybe","Maybe","Yes","No","No","Yes","No","Yes","No","No","No","YouTube","1","4","1","1","1","Improving of internet quality might help me","Screen Recording","","","","","","","","",""
"2020/05/02 9:53:09 pm GMT+5","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/02 9:55:47 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Private","Abasyn university","Undergraduate","Computer Science","Zoom","Android","Yes","Yes","Yes","Maybe","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Yes","YouTube","2","3","3","2","1","","Class Notification;Assignment Upload/Evaluation;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 9:57:01 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Private","Abasyn University Islamabad campus ","Undergraduate","Computer Science","Zoom;Google Hangout","Windows;Android","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","Yes","YouTube","1","3","2","5","4","No suggestions bcz i don't like online class","Class Notification","Good ","","","","","","","",""
"2020/05/02 9:58:26 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Government","Comsats Islamabad","Postgraduate","Computer Science","Microsoft Teams","Windows","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","YouTube","3","5","1","1","1","","Sceduling of Classes;Attendance;Raise Hand during session;One to one Communication","","","","","","","","",""
"2020/05/02 9:58:46 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Private","Abasyn University Islamabad campus","Graduate","Computer Science","Zoom","Android","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","YouTube","1","2","3","1","1","","Audio/Video Calling","","","","","","","","",""
"2020/05/02 9:59:05 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","International islamic university islamabad","Undergraduate","Software engineering","GoToMeeting","Android","Yes","Yes","Yes","Yes","Maybe","Yes","Maybe","Maybe","No","Yes","No","Yes","Yes","Yes","No","No","No","YouTube","1","4","1","1","1","Dont  take online classes because of slow speed of internet comnection in pakistan","Chat Room","No need","","","","","","","",""
"2020/05/02 10:00:04 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Government","Comsat university islamabad ","Graduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","Yes","No","Maybe","No","Maybe","Maybe","Yes","No","No","Yes","Yes","No","No","No","Yes","YouTube","2","4","4","4","1","Teachers should make videos and upload on youtube, also only discussion session on online class.","White Board;Live subtitles;Attendance;Raise Hand during session;One to one Communication;Assignment Upload/Evaluation;Quiz Upload/Evaluation","Should fill with teachers community.","","","","","","","",""
"2020/05/02 10:04:25 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Private","comsat universty islamabad","Graduate","Computer Science","Microsoft Teams","Windows","Yes","No","Yes","No","Maybe","Yes","Maybe","Maybe","Yes","No","No","Yes","Yes","Yes","No","No","Yes","YouTube","4","4","4","4","3","","Raise Hand during session","","","","","","","","",""
"2020/05/02 10:05:15 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Private","Abasyn Unibersity Islamabad campus","Undergraduate","Computer Science","Zoom","Windows;Android;IOS","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","Yes","No","YouTube","1","1","1","1","3","","White Board","","","","","","","","",""
"2020/05/02 10:05:43 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Government","Comsats university islamabad ","Graduate","Computer Science","Microsoft Teams","Windows;Android","Yes","Yes","Yes","Maybe","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Coursera","4","5","4","3","3","","Live subtitles;Class Notification;Attendance;Raise Hand during session;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 10:09:34 pm GMT+5","Yes","Yes","Live Session","29-35","Male","Pakistan","Private","Capital University of science and technology ","Graduate","Engineering management ","Microsoft Teams","Windows","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","YouTube","3","3","3","3","2","Our teaches have no experience in online classes. Specialized should give tips to teachers regarding using tools for improving their lectures delivering techniques during online sessions. ","Raise Hand during session","","","","","","","","",""
"2020/05/02 10:09:40 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Private","Abasyn ","Undergraduate","BBA","Zoom","IOS","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","YouTube","3","3","2","2","2","","Audio/Video Calling","","","","","","","","",""
"2020/05/02 10:09:41 pm GMT+5","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/02 10:09:52 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","IIUI","Undergraduate","SOFTWARE ENGINEERING ","GoToMeeting;WhatsApp - Google classroom","Windows;Android","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","YouTube","3","3","2","4","1","","Audio/Video Calling;One to one Communication","","","","","","","","",""
"2020/05/02 10:09:55 pm GMT+5","Yes","Yes","Live Session","24-28","Female","Pakistan","Government","comsats university islamabad","Postgraduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","YouTube","2","2","3","1","1","","White Board","","","","","","","","",""
"2020/05/02 10:11:00 pm GMT+5","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/02 10:11:09 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Private","Abasyn university Islamabad ","Undergraduate","Civil engineering ","Zoom","IOS","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","YouTube","1","1","1","1","2","","Audio/Video Calling","","","","","","","","",""
"2020/05/02 10:12:09 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Private","Absyan University Islamabad ","Undergraduate","Computer Science","Zoom","Windows;Android","Yes","Yes","Yes","No","Maybe","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","YouTube","3","3","3","3","3","","Audio/Video Calling","Don't know ","","","","","","","",""
"2020/05/02 10:13:23 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","Islamic international university ","Undergraduate","Computer Science","GoToMeeting","Android","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","YouTube","1","1","1","1","1","Stop them","White Board;Live subtitles;Lecture materials","","","","","","","","",""
"2020/05/02 10:13:55 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Government","Comsats","Graduate","Computer Science","Microsoft Teams","Windows","Yes","No","Yes","Maybe","Maybe","Yes","Maybe","Maybe","Yes","No","Yes","Yes","Yes","Yes","No","No","No","YouTube","2","3","2","2","2","","Live subtitles","","","","","","","","",""
"2020/05/02 10:15:19 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Private","Comsats Islamabad","Postgraduate","Computer Science","Microsoft Teams","Windows;Android;IOS","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","YouTube","2","3","3","3","3","","White Board;Class Notification","","","","","","","","",""
"2020/05/02 10:15:49 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","International Islamic university Islamabad ","Undergraduate","Envirnonmental Science","Zoom","Android","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","YouTube","1","1","1","1","1","No more online classes ","Screen Recording","Don't know ","","","","","","","",""
"2020/05/02 10:17:30 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","Iiui","Undergraduate","Computer Science","GoToMeeting;GoogleClass","Android","Yes","No","Yes","Maybe","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","YouTube","4","4","4","3","3","","Screen Recording","","","","","","","","",""
"2020/05/02 10:17:47 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","International Islamic university Islamabad ","Undergraduate","Envirnonmental Science","Zoom;Google Meet","Android","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","YouTube","3","2","2","1","3","Should give a proper app no interruption should be there n the teacher should taught us on white board","Audio/Video Calling;Screen Sharing;White Board;Live subtitles;Sceduling of Classes;Class Notification;Attendance","Its perfect ","","","","","","","",""
"2020/05/02 10:19:07 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Government","COMSATS University Islamabad","Graduate","Computer Science","Microsoft Teams","Windows;Android;IOS;Mac","Yes","No","Yes","No","Yes","Yes","Maybe","Maybe","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","YouTube","4","5","4","4","4","no","Raise Hand during session;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 10:19:23 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","International Islamic University, islamabad","Undergraduate","Software Engineering","Zoom;GoToMeeting","Windows;Android","No","Yes","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","YouTube","3","3","3","2","2","","Screen Recording;White Board;Lecture materials;Attendance;Assignment Upload/Evaluation;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 10:19:28 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","International Islamic University Islamabad","Graduate","Envirnonmental Science","Zoom;What's app","Android","Yes","Yes","Yes","Maybe","Maybe","Yes","Maybe","Maybe","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Google","3","4","5","3","3","","Assignment Upload/Evaluation;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 10:19:54 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Private","COMSATS","Postgraduate","Mathematics","Microsoft Teams","Windows","Yes","No","Yes","No","Yes","Yes","Maybe","Maybe","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","YouTube","3","4","4","3","3","","White Board;Live subtitles;Attendance;Raise Hand during session;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 10:20:07 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","COMSATS University, Islamabad ","Graduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","Yes","No","Yes","No","Maybe","Maybe","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Coursera","2","4","2","2","3","","Live subtitles;Attendance;Raise Hand during session","","","","","","","","",""
"2020/05/02 10:21:23 pm GMT+5","Yes","Yes","Live Session","24-28","Female","Pakistan","Government","Comsats","Graduate","Computer Science","Microsoft Teams","Windows","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","No","Yes","No","YouTube","3","4","4","3","2","","White Board;Class Notification;One to one Communication","","","","","","","","",""
"2020/05/02 10:21:55 pm GMT+5","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/02 10:22:40 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Government","comsat university islambad","Postgraduate","Mathematics","Microsoft Teams;Skype","Android","No","Yes","Yes","Maybe","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","YouTube","1","2","1","1","1","please stop the semester there are many issue during taking class.....","Lecture materials;Sceduling of Classes;Class Notification;Attendance;Raise Hand during session;Assignment Upload/Evaluation;Quiz Upload/Evaluation;giving online papers may be difficult..so please break the semester  ","Just add that online classes  is good step or not?","","","","","","","",""
"2020/05/02 10:23:19 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","Islamic university","Undergraduate","Computer Science","GoToMeeting","Windows;Android","No","No","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","YouTube","2","2","1","3","1","","White Board;Lecture materials;Sceduling of Classes;Class Notification;Attendance;Raise Hand during session;One to one Communication;Assignment Upload/Evaluation;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 10:25:06 pm GMT+5","Yes","Yes","Live Session","24-28","Female","Pakistan","Government","University of Sargodha, Sargodha. Pakistan","Postgraduate","Biological Sciences","Zoom","Android","Yes","Yes","No","Maybe","No","No","No","Maybe","Yes","No","No","Yes","Yes","No","No","Yes","No","No any other source","1","2","2","2","1","Online classes system is not help foul. I suggest to postpone the running semester.","Screen Recording","Kindly add, ""Are you satisfied from online education system of not""","","","","","","","",""
"2020/05/02 10:25:35 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Government","Comsats University islamabad","Undergraduate","Electrical Engineering","Microsoft Teams","Windows","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","YouTube","3","2","2","2","2","It's all ok ","Screen Sharing;White Board;Class Notification;One to one Communication","","","","","","","","",""
"2020/05/02 10:25:44 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan ","Private","International Islamic university ","Undergraduate","Envirnonmental Science","Zoom","Windows","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","YouTube","3","3","3","3","2","","Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 10:26:08 pm GMT+5","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/02 10:26:53 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Private","International Islamic University Islamabad","Undergraduate","Envirnonmental Science","Zoom","Windows;Android","Yes","Yes","Yes","No","Yes","Yes","No","Maybe","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","YouTube","3","3","3","3","3","Nothing","Assignment Upload/Evaluation;Quiz Upload/Evaluation","Nothing","","","","","","","",""
"2020/05/02 10:27:38 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","International islamic university islamabad","Graduate","Envirnonmental Science","Zoom;Microsoft Teams","Windows;Android","Yes","No","No","No","Yes","No","No","Maybe","No","No","Yes","No","Yes","No","No","Yes","Yes","Coursera","4","2","3","4","2","","Screen Sharing;Screen Recording;White Board;Live subtitles;Lecture materials;Sceduling of Classes;Attendance;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 10:29:02 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","IIUI","Undergraduate","Computer Science","GoToMeeting","Android","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","No","No","YouTube","2","3","2","1","1","","White Board;Live subtitles;Lecture materials;Class Notification;Raise Hand during session","","","","","","","","",""
"2020/05/02 10:30:21 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","International Islamic University Islamabad ","Undergraduate","Computer Science","GoToMeeting","Android","No","Yes","No","No","No","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","No","YouTube","1","3","1","1","2","it should have good quality and should be recorded in case of students living in remote areas not  having good quality of internet. ","Audio/Video Calling;Screen Sharing;Screen Recording;White Board;Live subtitles;Chat Room;Sceduling of Classes;Raise Hand during session;One to one Communication;Assignment Upload/Evaluation;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 10:31:07 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","University of sargodha ","Postgraduate","M. Phil Zoology","Zoom","Android","Yes","Yes","No","No","No","No","Maybe","Maybe","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Google Scholar ","3","4","3","3","2","","Screen Recording","","","","","","","","",""
"2020/05/02 10:31:35 pm GMT+5","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/02 10:31:37 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Government","Comsats University","Graduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","No","Maybe","Maybe","No","Maybe","No","Yes","No","Yes","No","Yes","No","No","No","No","YouTube","2","2","2","1","2","","Lecture materials","","","","","","","","",""
"2020/05/02 10:32:07 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Government","Comsats University Islamabad","Postgraduate","Computer Science","Microsoft Teams","Android","No","Yes","No","No","Maybe","Yes","Maybe","No","Yes","Yes","Yes","No","No","No","Yes","No","No","YouTube","1","1","1","1","1","Samester break","Lecture materials","","","","","","","","",""
"2020/05/02 10:32:39 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","Iiui","Undergraduate","Envirnonmental Science","Zoom","Android","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","YouTube","1","3","2","3","2","There is alot of internet problem plzz solve this...n we have much more burden of assignments","Live subtitles","","","","","","","","",""
